week,date,trap_count,location
18.0005,13/08/1984,24.763725,St_Hyacinth
18.7428,18/08/1984,63.066975,St_Hyacinth
20.1884,28/08/1984,74.21265,St_Hyacinth
21.0027,3/09/1984,232.52775,St_Hyacinth
22.1964,11/09/1984,423.63225,St_Hyacinth
23.3378,19/09/1984,527.4555,St_Hyacinth
24.4628,27/09/1984,764,St_Hyacinth
25.4145,3/10/1984,391.43175,St_Hyacinth
29.2246,30/10/1984,146.60025,St_Hyacinth
70.1508,13/08/1985,11.4792,St_Hyacinth
71.2464,20/08/1985,38.931225,St_Hyacinth
72.4074,28/08/1985,175.485,St_Hyacinth
73.0647,2/09/1985,71.95605,St_Hyacinth
74.4056,11/09/1985,508.539,St_Hyacinth
76.515,26/09/1985,427.06575,St_Hyacinth
77.4275,2/10/1985,149.03325,St_Hyacinth
78.4446,10/10/1985,45.563625,St_Hyacinth
79.151,15/10/1985,23.8611,St_Hyacinth
10.0759,18/06/1984,6.61386,Tifton_GA
12.967,8/07/1984,28.9505,Tifton_GA
14.1947,17/07/1984,276.792,Tifton_GA
15.2475,24/07/1984,232.871,Tifton_GA
16.0099,30/07/1984,304.515,Tifton_GA
17.0528,6/08/1984,244.079,Tifton_GA
18.0858,13/08/1984,167.129,Tifton_GA
19.3597,22/08/1984,492.04,Tifton_GA
20.5017,30/08/1984,596.752,Tifton_GA
21.3597,5/09/1984,228.04,Tifton_GA
22.4158,12/09/1984,189.624,Tifton_GA
23.4686,20/09/1984,145.703,Tifton_GA
24.1287,24/09/1984,46.6931,Tifton_GA
25.2178,2/10/1984,63.3267,Tifton_GA
26.2805,9/10/1984,35.9208,Tifton_GA
26.9934,14/10/1984,24.9901,Tifton_GA
28.0792,22/10/1984,36.1188,Tifton_GA
29.165,30/10/1984,47.2475,Tifton_GA
30.2376,6/11/1984,36.3564,Tifton_GA
60.0759,3/06/1985,6.61386,Tifton_GA
61.1683,11/06/1985,28.7525,Tifton_GA
62.2607,18/06/1985,50.8911,Tifton_GA
62.9604,23/06/1985,17.9406,Tifton_GA
64.0858,1/07/1985,95.1287,Tifton_GA
65.1584,9/07/1985,84.2376,Tifton_GA
66.2706,16/07/1985,139.406,Tifton_GA
67.3795,24/07/1985,189.069,Tifton_GA
68.3927,31/07/1985,79.0891,Tifton_GA
69.5578,8/08/1985,222.337,Tifton_GA
70.3531,14/08/1985,349.03,Tifton_GA
71.4884,22/08/1985,442.733,Tifton_GA
72.5644,29/08/1985,437.347,Tifton_GA
73.5908,6/09/1985,349.386,Tifton_GA
74.5809,13/09/1985,200.871,Tifton_GA
75.901,22/09/1985,906,Tifton_GA
75.9538,22/09/1985,90.9307,Tifton_GA
77.0462,30/09/1985,113.069,Tifton_GA
78.505,10/10/1985,146.257,Tifton_GA
79.1485,15/10/1985,19.7228,Tifton_GA
80.2343,22/10/1985,30.8515,Tifton_GA
81.4092,30/10/1985,190.614,Tifton_GA
82.4026,6/11/1985,47.604,Tifton_GA
83.1155,11/11/1985,36.6733,Tifton_GA
84.5545,21/11/1985,36.8317,Tifton_GA
85.9901,1/12/1985,31.4851,Tifton_GA
87.066,9/12/1985,26.099,Tifton_GA
2.53598,26/04/1984,10.0035,Gainsville_FL
4.01018,7/05/1984,29.6595,Gainsville_FL
5.14216,14/05/1984,59.0383,Gainsville_FL
5.84416,19/05/1984,49.3506,Gainsville_FL
6.91471,27/05/1984,44.577,Gainsville_FL
7.94138,3/06/1984,15.4089,Gainsville_FL
8.69603,8/06/1984,34.9947,Gainsville_FL
9.84556,16/06/1984,74.1313,Gainsville_FL
12.3903,4/07/1984,89.0137,Gainsville_FL
13.0484,9/07/1984,54.9316,Gainsville_FL
14.3033,18/07/1984,152.615,Gainsville_FL
15.3826,25/07/1984,152.72,Gainsville_FL
16.0583,30/07/1984,128.396,Gainsville_FL
17.2253,7/08/1984,177.29,Gainsville_FL
18.5153,16/08/1984,94.4893,Gainsville_FL
19.2085,21/08/1984,79.9228,Gainsville_FL
20.3931,29/08/1984,138.575,Gainsville_FL
21.6567,7/09/1984,241.137,Gainsville_FL
22.0604,10/09/1984,65.5669,Gainsville_FL
23.596,21/09/1984,119.375,Gainsville_FL
24.2366,25/09/1984,75.5353,Gainsville_FL
25.2194,2/10/1984,21.9726,Gainsville_FL
28.0888,22/10/1984,17.3745,Gainsville_FL
29.1594,30/10/1984,12.6009,Gainsville_FL
30.2299,6/11/1984,7.82731,Gainsville_FL
37.4254,26/12/1984,8.52931,Gainsville_FL
56.4935,9/05/1985,10.3896,Gainsville_FL
57.9326,19/05/1985,10.53,Gainsville_FL
60.1176,3/06/1985,25.3773,Gainsville_FL
62.9695,23/06/1985,11.0214,Gainsville_FL
65.1457,9/07/1985,20.9898,Gainsville_FL
66.2162,16/07/1985,16.2162,Gainsville_FL
66.9972,21/07/1985,50.4388,Gainsville_FL
68.0502,29/07/1985,35.9073,Gainsville_FL
69.1822,6/08/1985,65.2861,Gainsville_FL
70.4984,15/08/1985,197.122,Gainsville_FL
71.332,21/08/1985,60.6178,Gainsville_FL
72.6307,30/08/1985,182.696,Gainsville_FL
73.5609,5/09/1985,99.8596,Gainsville_FL
74.1839,10/09/1985,46.2618,Gainsville_FL
75.623,20/09/1985,246.402,Gainsville_FL
